Month/day, Cold Warning, Wind Warning, Low(°C), High(°C), Average(°C)
January
Day: 1,   ,   , -3.5°C, 0.2°C, -1.7125000000000004°C, 
Day: 2,   ,   , -1.3°C, 0.9°C, -0.16666666666666666°C, 
Day: 3,   , [Warning winds up to 22.0 km/h], -1.9°C, 4.4°C, 2.1624999999999996°C, 
Day: 4,   , [Warning winds up to 27.0 km/h], -3.1°C, 1.7°C, 0.13750000000000004°C, 
Day: 5,   , [Warning winds up to 30.0 km/h], -8.6°C, -4.4°C, -5.987500000000002°C, 
Day: 6,   , [Warning winds up to 23.0 km/h], -5.9°C, -4.3°C, -5.154166666666666°C, 
Day: 7,   , [Warning winds up to 37.0 km/h], -8.7°C, -4.7°C, -6.149999999999998°C, 
Day: 8, [Extreme cold Warning],   , -16.4°C, -9.1°C, -12.6°C, 
Day: 9,   ,   , -13.5°C, 0.1°C, -5.041666666666667°C, 
Day: 10,   , [Warning winds up to 21.0 km/h], -0.6°C, 2.6°C, 0.8916666666666666°C, 
Day: 11,   , [Warning winds up to 22.0 km/h], -1.6°C, 2.0°C, -0.15416666666666656°C, 
Day: 12,   , [Warning winds up to 21.0 km/h], -3.4°C, 1.3°C, -0.8583333333333334°C, 
Day: 13, [Extreme cold Warning], [Warning winds up to 30.0 km/h], -15.5°C, 0.2°C, -5.616666666666667°C, 
Day: 14, [Extreme cold Warning], [Warning winds up to 24.0 km/h], -21.9°C, -9.8°C, -15.354166666666664°C, 
Day: 15,   , [Warning winds up to 32.0 km/h], -11.3°C, -1.0°C, -5.8°C, 
Day: 16,   , [Warning winds up to 22.0 km/h], -3.4°C, 3.1°C, 0.28333333333333327°C, 
Day: 17,   , [Warning winds up to 22.0 km/h], -6.5°C, -1.3°C, -3.7624999999999997°C, 
Day: 18,   , [Warning winds up to 32.0 km/h], -2.3°C, 4.8°C, 1.2166666666666668°C, 
Day: 19,   , [Warning winds up to 29.0 km/h], -6.6°C, -0.6°C, -3.75°C, 
Day: 20,   , [Warning winds up to 21.0 km/h], -10.9°C, -6.2°C, -8.600000000000001°C, 
Day: 21,   , [Warning winds up to 27.0 km/h], -11.2°C, 0.0°C, -5.425000000000002°C, 
Day: 22,   , [Warning winds up to 21.0 km/h], -4.6°C, 4.4°C, -0.29999999999999977°C, 
Day: 23,   , [Warning winds up to 26.0 km/h], -3.6°C, 7.0°C, 2.6°C, 
Day: 24,   ,   , 1.0°C, 8.3°C, 4.508333333333333°C, 
Day: 25,   ,   , 0.2°C, 3.9°C, 2.066666666666667°C, 
Day: 26,   , [Warning winds up to 22.0 km/h], -4.0°C, 2.2°C, -1.233333333333333°C, 
Day: 27,   , [Warning winds up to 42.0 km/h], -6.2°C, -3.7°C, -4.904166666666667°C, 
Day: 28,   , [Warning winds up to 34.0 km/h], -10.4°C, -3.9°C, -6.183333333333334°C, 
Day: 29, [Extreme cold Warning],   , -15.6°C, -5.6°C, -10.729166666666666°C, 
[Weekly Report]
  ,   ,   , -8.7°C, 4.4°C, -2.410119047619049°C, 
  ,   ,   , -21.9°C, 2.6°C, -5.533333333333334°C, 
  ,   ,   , -11.3°C, 4.8°C, -3.6910714285714246°C, 
  ,   ,   , -15.6°C, 8.3°C, -1.7572916666666663°C, 
[Month Report]
  ,   ,   , -21.9°C, 8.3°C, -3.138291605301921°C, 
March
Day: 1,   , [Warning winds up to 20.0 km/h], -14.2°C, 1.4°C, -4.391666666666667°C, 
Day: 2,   ,   , -1.1°C, 6.1°C, 2.945833333333333°C, 
Day: 3,   ,   , -0.9°C, 3.0°C, 1.4624999999999997°C, 
Day: 4,   , [Warning winds up to 25.0 km/h], 0.8°C, 4.6°C, 2.420833333333333°C, 
Day: 5,   , [Warning winds up to 27.0 km/h], -1.6°C, 5.4°C, 1.45°C, 
Day: 6,   , [Warning winds up to 30.0 km/h], -1.1°C, 2.5°C, 0.4291666666666667°C, 
Day: 7,   , [Warning winds up to 22.0 km/h], -7.6°C, 3.7°C, -1.9124999999999996°C, 
Day: 8,   , [Warning winds up to 22.0 km/h], -0.2°C, 11.7°C, 6.033333333333331°C, 
Day: 9,   , [Warning winds up to 25.0 km/h], 7.9°C, 17.1°C, 12.149999999999999°C, 
Day: 10,   , [Warning winds up to 44.0 km/h], -0.8°C, 11.1°C, 5.508333333333333°C, 
Day: 11,   , [Warning winds up to 25.0 km/h], -3.9°C, 2.8°C, -0.5708333333333332°C, 
Day: 12,   ,   , -1.4°C, 6.0°C, 2.079166666666667°C, 
Day: 13,   , [Warning winds up to 46.0 km/h], 2.1°C, 7.6°C, 4.7625°C, 
Day: 14,   , [Warning winds up to 31.0 km/h], -0.9°C, 2.5°C, 0.7833333333333333°C, 
Day: 15,   ,   , -4.3°C, 2.8°C, -1.0583333333333327°C, 
Day: 16,   , [Warning winds up to 24.0 km/h], -5.3°C, 2.2°C, -1.066666666666667°C, 
Day: 17,   , [Warning winds up to 25.0 km/h], -0.1°C, 6.5°C, 3.329166666666667°C, 
Day: 18,   ,   , -3.8°C, 3.2°C, 0.8083333333333332°C, 
Day: 19,   , [Warning winds up to 21.0 km/h], 2.8°C, 6.3°C, 4.629166666666667°C, 
Day: 20,   , [Warning winds up to 46.0 km/h], -3.7°C, 17.9°C, 7.095833333333334°C, 
Day: 21,   , [Warning winds up to 34.0 km/h], -9.3°C, -0.8°C, -4.879166666666667°C, 
Day: 22,   , [Warning winds up to 28.0 km/h], -7.1°C, -0.7°C, -3.183333333333333°C, 
Day: 23,   ,   , -0.8°C, 2.4°C, 1.075°C, 
Day: 24,   ,   , -0.1°C, 5.4°C, 2.154166666666667°C, 
Day: 25,   ,   , 0.1°C, 9.5°C, 3.4°C, 
Day: 26,   , [Warning winds up to 33.0 km/h], 0.4°C, 11.8°C, 5.133333333333334°C, 
Day: 27,   ,   , 1.3°C, 10.3°C, 4.654166666666666°C, 
Day: 28,   , [Warning winds up to 21.0 km/h], 0.6°C, 9.6°C, 5.275°C, 
Day: 29,   , [Warning winds up to 33.0 km/h], 5.3°C, 16.9°C, 8.854166666666668°C, 
Day: 30,   ,   , 4.4°C, 8.9°C, 6.366666666666667°C, 
Day: 31,   , [Warning winds up to 22.0 km/h], 4.1°C, 5.7°C, 4.858333333333334°C, 
[Weekly Report]
  ,   ,   , -14.2°C, 6.1°C, 0.3434523809523811°C, 
  ,   ,   , -3.9°C, 17.1°C, 4.392261904761907°C, 
  ,   ,   , -9.3°C, 17.9°C, 1.2654761904761904°C, 
  ,   ,   , -7.1°C, 11.8°C, 2.6440476190476185°C, 
  ,   ,   , 4.1°C, 16.9°C, 6.6083333333333325°C, 
[Month Report]
  ,   ,   , -14.2°C, 17.9°C, 2.5998655913978492°C, 
April
Day: 1,   , [Warning winds up to 26.0 km/h], 0.3°C, 10.2°C, 5.733333333333333°C, 
Day: 2,   , [Warning winds up to 36.0 km/h], 1.7°C, 11.8°C, 6.7583333333333355°C, 
Day: 3,   , [Warning winds up to 32.0 km/h], 1.5°C, 10.0°C, 5.575°C, 
Day: 4,   ,   , 5.4°C, 10.4°C, 7.691666666666666°C, 
Day: 5,   , [Warning winds up to 28.0 km/h], 1.9°C, 8.5°C, 6.083333333333333°C, 
Day: 6,   , [Warning winds up to 22.0 km/h], 0.1°C, 13.9°C, 7.537499999999999°C, 
Day: 7,   ,   , 3.7°C, 13.8°C, 8.633333333333335°C, 
Day: 8,   , [Warning winds up to 23.0 km/h], 5.1°C, 12.5°C, 8.441666666666665°C, 
Day: 9,   , [Warning winds up to 34.0 km/h], 1.1°C, 7.5°C, 5.0249999999999995°C, 
Day: 10,   , [Warning winds up to 40.0 km/h], -0.1°C, 5.5°C, 2.308333333333333°C, 
Day: 11,   , [Warning winds up to 26.0 km/h], -0.9°C, 8.3°C, 3.8125°C, 
Day: 12,   ,   , 2.6°C, 11.7°C, 7.416666666666667°C, 
Day: 13,   , [Warning winds up to 41.0 km/h], 3.0°C, 14.0°C, 8.716666666666669°C, 
Day: 14,   , [Warning winds up to 31.0 km/h], -0.7°C, 5.3°C, 2.0875°C, 
Day: 15,   , [Warning winds up to 28.0 km/h], -2.9°C, 3.1°C, -0.4124999999999999°C, 
Day: 16,   , [Warning winds up to 35.0 km/h], -3.7°C, 2.9°C, -0.11249999999999977°C, 
Day: 17,   , [Warning winds up to 24.0 km/h], -2.0°C, 6.1°C, 1.7208333333333334°C, 
Day: 18,   , [Warning winds up to 27.0 km/h], -2.6°C, 9.5°C, 4.254166666666666°C, 
Day: 19,   , [Warning winds up to 29.0 km/h], 0.3°C, 11.6°C, 6.091666666666668°C, 
Day: 20,   ,   , -3.7°C, 7.0°C, 2.083333333333333°C, 
Day: 21,   , [Warning winds up to 35.0 km/h], -1.7°C, 6.6°C, 1.945833333333333°C, 
Day: 22,   , [Warning winds up to 32.0 km/h], -2.8°C, 4.7°C, 0.3374999999999999°C, 
Day: 23,   , [Warning winds up to 25.0 km/h], -4.5°C, 6.0°C, 1.8541666666666672°C, 
Day: 24,   ,   , 4.4°C, 9.1°C, 6.141666666666667°C, 
Day: 25,   , [Warning winds up to 22.0 km/h], 0.8°C, 13.1°C, 7.979166666666667°C, 
Day: 26,   , [Warning winds up to 34.0 km/h], 5.9°C, 11.4°C, 8.962499999999999°C, 
Day: 27,   , [Warning winds up to 25.0 km/h], 3.0°C, 14.6°C, 9.545833333333333°C, 
Day: 28,   , [Warning winds up to 31.0 km/h], 5.4°C, 11.5°C, 8.283333333333333°C, 
Day: 29,   , [Warning winds up to 36.0 km/h], 8.5°C, 13.9°C, 10.845833333333331°C, 
Day: 30,   , [Warning winds up to 32.0 km/h], 8.5°C, 13.5°C, 10.716666666666669°C, 
[Weekly Report]
  ,   ,   , 0.1°C, 13.9°C, 6.858928571428571°C, 
  ,   ,   , -0.9°C, 14.0°C, 5.401190476190476°C, 
  ,   ,   , -3.7°C, 11.6°C, 2.2244047619047618°C, 
  ,   ,   , -4.5°C, 14.6°C, 6.157738095238097°C, 
  ,   ,   , 8.5°C, 13.9°C, 7.056944444444444°C, 
[Month Report]
  ,   ,   , -4.5°C, 14.6°C, 5.535277777777777°C, 
May
Day: 1,   , [Warning winds up to 30.0 km/h], 7.7°C, 15.1°C, 10.637500000000001°C, 
Day: 2,   , [Warning winds up to 24.0 km/h], 4.9°C, 17.7°C, 10.779166666666667°C, 
Day: 3,   , [Warning winds up to 31.0 km/h], 7.2°C, 20.3°C, 14.091666666666669°C, 
Day: 4,   , [Warning winds up to 40.0 km/h], 2.4°C, 9.2°C, 6.575°C, 
Day: 5,   ,   , 0.0°C, 11.1°C, 5.504166666666666°C, 
Day: 6,   , [Warning winds up to 29.0 km/h], 1.9°C, 13.8°C, 8.187500000000002°C, 
Day: 7,   , [Warning winds up to 27.0 km/h], 2.6°C, 11.4°C, 7.016666666666667°C, 
[Weekly Report]
  ,   ,   , 0.0°C, 20.3°C, 8.970238095238093°C, 
[Yearly Report]
  ,   ,   , -21.9°C, 17.9°C, 1.1785481770833346°C, 
